assembly_id	File_prefix	biosample	Species	source	host	host_simple	isolation_year	region	Collection	mos_aic_source_specific	mos_aic_source_lab	location	mos_aic_lab_field	mosquito_spp
SKLX041885	GCA_025196295.1	SAMN15461131	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX041980	GCA_025196285.1	SAMN15461132	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX042015	GCA_025196345.1	SAMN15461133	Elizabethkingia anophelis	CSF	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX042112	GCA_025196265.1	SAMN15461134	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX042392	GCA_025196245.1	SAMN15461135	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX042405	GCA_025196205.1	SAMN15461136	Elizabethkingia anophelis	Throat	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX042517	GCA_025196165.1	SAMN15461137	Elizabethkingia anophelis	Heart valve	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX042610	GCA_025196145.1	SAMN15461138	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX042646	GCA_025196215.1	SAMN15461139	Elizabethkingia anophelis	BAL	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX042758	GCA_025196125.1	SAMN15461140	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX042932	GCA_025196185.1	SAMN15461141	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
